,company_name,job_title,job_description,required_skills,job_meta
10,Clutterbot,ML Engineer II (Deep learning),"About ClutterbotImagine a world where you never have to worry about picking up clutter again! At our robotics startup, we understand the challenges families face trying to balance work and daily responsibilities while keeping their homes tidy. That's why we're developing a cutting-edge household robot that will revolutionize the way you live. This safe and innovative robot will drive around your house, effortlessly picking up toys, clothes, and other items off the floor and organizing them neatly into containers. Say goodbye to clutter and hello to a more efficient andstress-free home life!As part of our close-knit team, you'll have the opportunity to work on cutting-edge technology and be at the forefront of the robotics industry. You'll also have the chance to grow your skills and expertise through collaboration with experienced professionals in the field. Join us in building the future of home automation and experience a fulfilling and rewarding career journey!About The RoleWe seek a motivated ML Engineer to join our team and specialize in core deep learning and computer vision.You will be responsible for developing and fine-tuning deep-learning models that enhance our robot's capabilities. You will play a critical role in ensuring that our ML models are robust, scalable, and efficientResponsibilities● Develop and deploy deep learning models for computer vision tasks such as semantic segmentation, object detection, and image classification.● Fine-tune and optimize deep learning models to improve performance and efficiency.● Work closely with the data science team to identify key metrics and data sources for fine-tuning the deep learning models.● Develop and implement algorithms and models that efficiently learn from new data and adapt to changing environmental conditions.● Develop and implement data processing pipelines to efficiently extract features and label data for ML model training.● Collaborate with cross-functional teams, including software engineers and product managers, to ensure successful delivery of ML models.● Stay up-to-date with the latest developments in deep learning and make recommendations for improvements to ML models and training pipelinesRequirements● Bachelor's or Master's degree in Computer Science, Electrical Engineering, Mathematics, or a related field.● 3+ years of experience in deep learning engineering, focusing on developing and deploying DL models.● Experience training and deploying deep learning computer vision models such as semantic segmentation, object detection, and image classification.● Strong programming skills in Python or similar languages.● Strong experience with popular deep learning frameworks such as TensorFlow or PyTorch.● Strong experience with data processing and feature extraction techniques.● Experience in working on deep learning model training and optimization for edge devices such as Nvidia Jetson.● Familiarity with on-device learning and the challenges associated with it.● Strong problem-solving and analytical skills, with the ability to analyze complex systems and identify areas for improvement.● Excellent communication and collaboration skills, with the ability to work effectively in a team environment.If you are a highly motivated ML Engineer and passionate about developing on-device learning solutions for home robots, we encourage you to apply for this exciting opportunity. You will have the opportunity to work with cutting-edge technologies and collaborate with a talented team of data scientists and software engineers to create innovative solutions for our customersBenefits-Competitive compensation package-Health Insurance-Flexible work culture-Company-Sponsored Devices-Health/Wellness Membership Benefits-Team building activities","['programming', 'keras', 'pytorch', 'statistics', 'spark', 'python', 'hive', 'scikit-learn', 'nlp', 'natural language processing', 'data analysis', 'mathematics', 'machine learning', 'tensorflow']","Bengaluru, Karnataka, India ·   2 weeks ago2 weeks ago ·   Over 100 people clicked Apply"
11,JPMorganChase,Associate AI/ML,"Engaging with stakeholders and understanding business requirementsDeveloping AI/ML solutions to address impactful business needsWorking with other team members to productionize end-to-end AI/ML solutionsEngaging in research and development of innovative relevant solutionsDocumenting developed AI/ML models to stakeholdersCoaching other AI/ML team members towards both personal and professional successCollaborating with other teams across the firm to attain the mission and vision of the team and the firmAdvanced degree in analytical field (e.g., Data Science, Computer Science, Engineering, Applied Mathematics, Statistics, Data Analysis, Operations Research)Experience in the application of AI/ML to a relevant fieldDemonstrated practical experience in machine learning techniques, supervised, unsupervised, and semi-supervisedStrong experience in natural language processing (NLP) and its applicationsSolid coding level in Python programming language, with experience in leveraging available libraries, like Tensorflow, Keras, Pytorch, Scikit-learn, or others, to dedicated projectsPrevious experience in working on Spark, Hive, and SQLFinancial service backgroundPhD in one of the above disciplines","['regression', 'sql', 'presentation skills', 'programming', 'eda', 'data cleaning', 'python', 'model selection', 'clustering', 'classification', 'data wrangling', 'problem-solving', 'machine learning']","Bengaluru, Karnataka, India ·   Reposted 1 week ago 1 week ago ·   Over 100 people clicked Apply"
12,ANZ,Data Scientist," Address and solve complex business issues using large volume of data  Develop insights and algorithms that transform key business processes and automate banker decisions and activities  Continuous generation, monitoring, presenting and conducting of 'fact-based' analysis, insights and models to use at any time for the development and improvement of relevant and innovative propositions  Design, build, deploy, monitor and assess relevant models for customers, clients, products and channels  Initiate, design and implement innovative capabilities in the field of data science and data analytics  Exhibit strong analytical mindset with ability to analyse data and generate insights  Build data science solutions for multiple business use cases  Utilize your existing skillset to deliver quality results using advanced analytics, ML,AI  Focus on continuously improving your technical skills  Exhibit strong data management skills  Develop on communication and presentation skills  Lead and inspire a team  Need to have good understanding of the Banking system and products, service, channels  Ability to effectively communicate to all stakeholders (technical and non-technical)  Problem Solving - Comprehensive understanding of a range of analytical problem-solving advanced analytics techniques  Continuous Improvement & Change – Understands, accepts and supports the need for change and adapts own behaviours to changing circumstances and provides input to change projects  Data Wrangling: Skills in data cleaning, transformation, and pre-processing are essential for dealing with messy, unstructured data.  Programming Skills: Proficiency in programming languages like Python & SQL is crucial for data manipulation, analysis, and model development.  Technical Skills: Familiarity with machine learning algorithms and techniques such as regression, classification, clustering, and time series forecasting is necessary for building predictive models and extracting insights from data.  Understanding of Statistical methods and ability to rightly apply them for business solving.  Experience in building statistical model from scratch covering problem statement definition, data extraction, EDA, model selection/training/evaluation/tuning, validation, interpretation, deployment & monitoring  Influence & Relationship Building - Uses an understanding of others’ point of view and empathy to gain buy-in to develop existing relationships and help build new ones  Product Expert (new innovation) – An understanding of analytical techniques, including awareness of new and emerging capabilities ","['machine learning', 'problem-solving']","Pune, Maharashtra, India ·   1 week ago1 week ago ·   Over 100 applicants"
13,Evonence,AI/ML Engineer,"As a Customer Engineer, you will work as a machine learning subject matter expert to differentiate Google Cloud to our customers. You will help prospective customers and partners understand the power of Google Cloud, explaining technical features, helping customers design architectures, and problem-solving any potential roadblocks. Additionally, you will help customers to leverage specialized Machine Learning (ML) hardware developed by Google. You will work with customers and product development to shape the platform.Google Cloud accelerates every organization's ability to digitally transform its business and industry. We deliver enterprise-grade solutions that leverage Google's cutting-edge technology, and tools that help developers build more sustainably.Responsibilities • Work with the team to identify and qualify business opportunities, understand key customer technical objections and develop the strategy to resolve technical blockers. • Provide machine learning expertise to support the technical relationship with Google's customers, including product and solution briefings, proof-of-concept work, and partner directly with product management to prioritize solutions impacting customer adoption to Google Cloud. • Work with customers to demonstrate and prototype Google Cloud product integrations in customer/partner environments. • Recommend integration strategies, enterprise architectures, platforms and application infrastructure required to implement a complete solution using best practices on Google Cloud.","['machine learning', 'problem-solving']","Pune, Maharashtra, India ·   1 week ago1 week ago ·   Over 100 applicants"
14,Evonence,AI/ML Engineer," As a Customer Engineer, you will work as a machine learning subject matter expert to differentiate Google Cloud to our customers. You will help prospective customers and partners understand the power of Google Cloud, explaining technical features, helping customers design architectures, and problem-solving any potential roadblocks. Additionally, you will help customers to leverage specialized Machine Learning (ML) hardware developed by Google. You will work with customers and product development to shape the platform.Google Cloud accelerates every organization's ability to digitally transform its business and industry. We deliver enterprise-grade solutions that leverage Google's cutting-edge technology, and tools that help developers build more sustainably.Responsibilities • Work with the team to identify and qualify business opportunities, understand key customer technical objections and develop the strategy to resolve technical blockers. • Provide machine learning expertise to support the technical relationship with Google's customers, including product and solution briefings, proof-of-concept work, and partner directly with product management to prioritize solutions impacting customer adoption to Google Cloud. • Work with customers to demonstrate and prototype Google Cloud product integrations in customer/partner environments. • Recommend integration strategies, enterprise architectures, platforms and application infrastructure required to implement a complete solution using best practices on Google Cloud.","['aws', 'data pipelines', 'python', 'collaboration']","Bengaluru East, Karnataka, India ·   1 hour ago1 hour ago ·   0 people clicked Apply"
15,IBM,Data Scientist: Advanced Analytics,"Work with broader team to build, analyze and improve the AI solutions.You will also work with our software developers in consuming different enterprise applications.Skillset: Amazon Connect, Amazon Lex, AWS Lambda, Amazon Polly, IAM, Polly, Quick Sight ,AWS CloudWatch, Amazon Transcribe, AWS Step functions, Amazon S3, Amazon Kinesis, Amazon DynamoDB, RDS, Node.js/ Python.Experience in contact center development.Design and implementing data models that help in identifying patterns and trends.Collaboration Work with data engineers to optimize and maintain data pipelines. Experience with conversation analytics.Experience with cloud technologiesExperience with data exploration tools such as Tableu",[],"Bhubaneswar, Odisha, India ·   2 weeks ago2 weeks ago ·   Over 100 applicants"
16,Data Safeguard Inc.,AI ML Engineer,,"['tensorflow', 'python', 'collaboration', 'deep learning', 'machine learning', 'r']","Serilingampalli, Telangana, India ·   2 weeks ago2 weeks ago ·   Over 100 applicants"
17,Dataquad Inc.,AI/ML,"Manage and direct processes and R&D (research and development) to meet the needs of our AI strategyUnderstand company and client challenges and how integrating AI capabilities can help lead to solutionsLead cross-functional teams in identifying and prioritizing key areas of a partner’s business where AI solutions can drive significant business benefitAnalyze and explain AI and machine learning (ML) solutions while setting and maintaining high ethical standardsAdvise C-suite executives and business leaders on a broad range of technology, strategy, and policy issues associated with AIWork on functional design, process design (including scenario design, flow mapping), prototyping, testing, training, and defining support procedures, in collaboration with an advanced engineering team and executive leadershipArticulate and document the solutions architecture and lessons learned for each exploration and accelerated incubationManage a team in conducting assessments of the AI and automation market and competitor landscapeServe as liaison between stakeholders and project teams, delivering feedback and enabling team members to make necessary changes in product performance or presentationTwo or more years of experience in applying AI to practical and comprehensive technology solutionsExperience with ML, deep learning, TensorFlow, Python, NLPExperience in program leadership, governance, and change enablementKnowledge of basic algorithms, object-oriented and functional design principles, and best-practice patternsExperience in REST API development, NoSQL database design, and RDBMS design and optimizationsBachelor’s or master's degree in computer science or related fieldExperience with innovation acceleratorsExperience with cloud environments","['programming', 'keras', 'pytorch', 'spark', 'python', 'snowflake', 'hive', 'deep learning', 'gcp', 'git', 'machine learning', 'version control', 'r', 'automl', 'tensorflow', 'redshift']","Bengaluru, Karnataka, India ·   2 weeks ago2 weeks ago ·   Over 100 people clicked Apply"
18,66degrees,AI/ML Engineer,"Overview of 66degrees66degrees is a leading consulting and professional services company specializing in developing AI-focused, data-led solutions leveraging the latest advancements in cloud technology. With our unmatched engineering capabilities and vast industry experience, we help the world's leading brands transform their business challenges into opportunities and shape the future of work.At 66degrees, we believe in embracing the challenge and winning together. These values not only guide us in achieving our goals as a company but also for our people. We are dedicated to creating a significant impact for our employees by fostering a culture that sparks innovation and supports professional and personal growth along the way.Role Overview As the ideal Data Scientist, you are someone who can do a deep technical dive and communicate effectively with others. You love wrangling messy data into an elegant solution, and helping others understand the power of their data. This role is a chance to have a huge impact on how businesses operate and make decisions on a daily basis.ResponsibilitiesDive deep into a wide range of data (tabular, text, image, etc.) to identify pain-points and deliver data-driven insights to our clients.Utilize analytical techniques to determine areas of opportunities to help meet business goals.Leverage GCP services to train and deploy off-the-shelf (Vertex AI/AutoML/BQML) or custom models to address a client’s business problem.Be a thought leader for your team on projects and contribute to key practice initiatives.Act as subject matter expert on pre-sales calls and requests for proposals.Drive successful delivery of analytics solutions.Create reports and presentations that showcase the value of your solution to our clientsWork with other members of the data science team to establish a center of excellence and create standard operating procedures, accelerators, and sales assetsQualifications3-5 years of experience with data science2+ Years programming in Python (preferred) and R.2+ Years’ Experience SQLKnowledge of Data Warehouses (Snowflake, BigQuery, Redshift, Synapse).Experience with version control systems, such as Git/GithubBig Data processing framework experience (eg Spark/Pyspark, Dask, Hive).Experience developing Machine Learning models and using Deep Learning frameworks like Tensorflow, Keras, PyTorch.Ability to communicate complex, technical processes to non-technical business stakeholders.Ability to track changing business requirements and deliver quality solutions both independently and with teams of varying skill sets.Bachelor’s degree in Data Science, Computer Science or similar.Nice to HaveExperience with Google Cloud Platform66degrees is an Equal Opportunity employer. All qualified applicants will receive consideration for employment without regard to actual or perceived race, color, religion, sex, gender, gender identity, national origin, age, weight, height, marital status, sexual orientation, veteran status, disability status or other legally protected class.",['programming'],"Gurugram, Haryana, India ·   1 week ago1 week ago ·   Over 100 applicants"
19,Ecom Express Limited,Data Scientist,"Role-Operations Research Scientist 2/ Senior Operations Research Scientist Experience Required-1-5 yrs Location- GurgaonRole & Responsibilities:  1. Develop scalable solutions that help create business value and drive the operations seamlessly 2. Drive network efficiency using Applied Operations Research tools (Mixed Integer Linear Programming, Metaheuristics, Simulations, Scenario Analysis) 3. Work on facility location problem of hubs and distribution centers, vehicle routing problems for mid mile and last mile operations, turn-around-time studies  Skills: 1. Experience with any one of the solvers: CPLEX, Gurobi, GLPK, Google OR tools, Pyomo framework  2. Mathematical formulations of complex business problems  3. Good problem solving ability","['keras', 'pytorch', 'mlflow', 'aws', 'optimization', 'deep learning', 'gcp', 'machine learning', 'tensorflow', 'azure', 'data modeling']","Bengaluru, Karnataka, India ·   4 days ago4 days ago ·   Over 100 applicants"
